trait number,breed number,average of unfailed cases,failed cases
2,2,2.232,0
2,3,3.336,0
3,2,2.192,0
3,3,3.236,0
3,4,3.608,0
3,5,4.016,0
3,6,4.956,0
3,7,5.288,0
4,2,2.312,0
4,3,3.252,0
4,4,3.508,0
4,5,4.164,0
4,6,5.028,0
4,7,5.08,0
4,8,4.74,0
4,9,5.048,0
4,10,5.92,0
4,11,5.844,0
4,12,6.152,0
4,13,6.116,0
4,14,6.58,0
4,15,5.976,0
5,2,2.28,0
5,3,3.268,0
5,4,3.644,0
5,5,4.224,0
5,6,5.052,0
5,7,5.168,0
5,8,4.656,0
5,9,5.108,0
5,10,5.848,0
5,11,6.268,0
5,12,6.064,0
5,13,6.052,0
5,14,6.252,0
5,15,6.268,0
5,16,5.996,0
5,17,6.212,0
5,18,6.744,0
5,19,6.972,0
5,20,6.66,0
5,21,6.784,0
5,22,7.036,0
5,23,7.324,0
5,24,6.9,0
5,25,7.084,0
5,26,7.224,0
5,27,7.276,0
5,28,7.3,0
5,29,6.948,0
5,30,6.964,0
5,31,7.08,0
6,2,2.424,0
6,3,3.444,0
6,4,3.54,0
6,5,4.088,0
6,6,4.964,0
6,7,4.876,0
6,8,4.888,0
6,9,5.172,0
6,10,5.704,0
6,11,6.2,0
6,12,6.228,0
6,13,6.08,0
6,14,6.308,0
6,15,6.304,0
6,16,6.18,0
6,17,6.216,0
6,18,6.928,0
6,19,6.86,0
6,20,6.94,0
6,21,6.916,0
6,22,7.056,0
6,23,7.044,0
6,24,7.176,0
6,25,7.056,0
6,26,7.172,0
6,27,6.992,0
6,28,7.3,0
6,29,7.336,0
6,30,7.34,0
6,31,7.3,0
6,32,7.204,0
6,33,7.156,0
6,34,7.56,0
6,35,7.668,0
6,36,7.872,0
6,37,7.86,0
6,38,7.768,0
6,39,7.912,0
6,40,7.868,0
6,41,7.968,0
6,42,7.944,0
6,43,8.024,0
6,44,7.944,0
6,45,8.244,0
6,46,8.252,0
6,47,8.272,0
6,48,8.024,0
6,49,7.884,0
6,50,8.172,0
6,51,8.068,0
6,52,8.204,0
6,53,8.204,0
6,54,8.4,0
6,55,8.344,0
6,56,8.284,0
6,57,8.028,0
6,58,8.052,0
6,59,8.156,0
6,60,7.896,0
6,61,8.068,0
6,62,8.044,0
6,63,8.16,0
7,2,2.328,0
7,3,3.396,0
7,4,3.508,0
7,5,4.216,0
7,6,5.168,0
7,7,5.244,0
7,8,4.78,0
7,9,5.04,0
7,10,5.736,0
7,11,6.112,0
7,12,6.12,0
7,13,6.152,0
7,14,6.276,0
7,15,6.308,0
7,16,6.04,0
7,17,6.076,0
7,18,6.504,0
7,19,6.752,0
7,20,6.728,0
7,21,6.644,0
7,22,7.072,0
7,23,7.072,0
7,24,7.044,0
7,25,7.184,0
7,26,7.172,0
7,27,7.132,0
7,28,7.324,0
7,29,6.956,0
7,30,7.228,0
7,31,7.388,0
7,32,7.384,0
7,33,7.244,0
7,34,7.64,0
7,35,7.668,0
7,36,7.7,0
7,37,7.852,0
7,38,8.088,0
7,39,7.952,0
7,40,7.832,0
7,41,7.996,0
7,42,8.124,0
7,43,8.044,0
7,44,8.088,0
7,45,8.044,0
7,46,8.128,0
7,47,8.152,0
7,48,8.02,0
7,49,7.988,0
7,50,7.956,0
7,51,8.1,0
7,52,8.0,0
7,53,8.176,0
7,54,8.448,0
7,55,8.296,0
7,56,8.108,0
7,57,8.196,0
7,58,8.332,0
7,59,8.276,0
7,60,8.08,0
7,61,8.304,0
7,62,8.424,0
7,63,8.348,0
7,64,8.5,0
7,65,8.252,0
7,66,8.648,0
7,67,8.572,0
7,68,8.596,0
7,69,8.632,0
7,70,8.664,0
7,71,8.892,0
7,72,8.772,0
7,73,8.696,0
7,74,8.548,0
7,75,8.86,0
7,76,8.912,0
7,77,8.856,0
7,78,8.94,0
7,79,9.072,0
7,80,8.728,0
7,81,8.928,0
7,82,8.816,0
7,83,8.952,0
7,84,8.912,0
7,85,9.112,0
7,86,8.952,0
7,87,9.064,0
7,88,8.928,0
7,89,9.216,0
7,90,8.924,0
7,91,9.172,0
7,92,9.144,0
7,93,9.148,0
7,94,11.42,0
7,95,11.32,0
7,96,11.24,0
7,97,11.34,0
7,98,11.56,0
7,99,11.228,0
7,100,11.42,0
7,101,11.376,0
7,102,11.408,0
7,103,11.464,0
7,104,11.696,0
7,105,11.512,0
7,106,11.6,0
7,107,11.58,0
7,108,11.648,0
7,109,11.444,0
7,110,11.6,0
7,111,11.732,0
7,112,11.852,0
7,113,11.716,0
7,114,11.6,0
7,115,11.864,0
7,116,11.92,0
7,117,11.788,0
7,118,11.896,0
7,119,11.868,0
7,120,12.088,0
7,121,11.824,0
7,122,12.088,0
7,123,12.304,0
7,124,12.128,0
7,125,11.988,0
7,126,12.276,0
7,127,12.552,0
